GEOID,Total_Households,No_Vehicle_Available
1400000US06001400100,1293,32
1400000US06001400200,847,39
1400000US06001400300,2441,371
1400000US06001400400,1802,170
1400000US06001400500,1606,186
1400000US06001400600,673,46
1400000US06001400700,1951,279
1400000US06001400800,1652,217
1400000US06001400900,1078,135
1400000US06001401000,2470,577
1400000US06001401100,2071,649
1400000US06001401200,1230,82
1400000US06001401300,1827,678
1400000US06001401400,1598,411
1400000US06001401500,1142,356
1400000US06001401600,896,159
1400000US06001401700,1295,124
1400000US06001401800,677,192
1400000US06001402200,871,191
1400000US06001402400,1221,399
1400000US06001402500,734,319
1400000US06001402600,631,246
1400000US06001402700,693,178
1400000US06001402800,2389,1119
1400000US06001402900,949,572
1400000US06001403000,1469,659
1400000US06001403100,898,254
1400000US06001403300,2143,729
1400000US06001403400,2838,896
1400000US06001403501,2655,952
1400000US06001403502,1158,203
1400000US06001403600,2643,273
1400000US06001403701,1738,362
1400000US06001403702,1102,167
1400000US06001403800,1814,114
1400000US06001403900,2059,44
1400000US06001404000,1638,136
1400000US06001404101,1660,296
1400000US06001404102,1657,549
1400000US06001404200,1286,24
1400000US06001404300,1284,30
1400000US06001404400,2315,97
1400000US06001404501,659,5
1400000US06001404502,2483,49
1400000US06001404600,1783,10
1400000US06001404700,805,0
1400000US06001404800,1159,113
1400000US06001404900,1860,216
1400000US06001405000,1446,76
1400000US06001405100,1608,10
1400000US06001405200,2414,180
1400000US06001405301,1572,193
1400000US06001405302,1377,402
1400000US06001405401,1657,379
1400000US06001405402,1180,291
1400000US06001405500,1572,271
1400000US06001405600,1386,202
1400000US06001405700,1368,172
1400000US06001405800,1338,186
1400000US06001405901,1100,217
1400000US06001405902,925,177
1400000US06001406000,1551,355
1400000US06001406100,1475,180
1400000US06001406201,1485,347
1400000US06001406202,1337,247
1400000US06001406300,1255,158
1400000US06001406400,748,162
1400000US06001406500,1948,326
1400000US06001406601,1746,159
1400000US06001406602,941,159
1400000US06001406700,2178,231
1400000US06001406800,1360,66
1400000US06001406900,1551,90
1400000US06001407000,1991,308
1400000US06001407101,1056,126
1400000US06001407102,1355,188
1400000US06001407200,1927,499
1400000US06001407300,730,100
1400000US06001407400,1127,162
1400000US06001407500,1358,267
1400000US06001407600,2123,183
1400000US06001407700,1651,61
1400000US06001407800,748,27
1400000US06001407900,1126,13
1400000US06001408000,1037,23
1400000US06001408100,2717,80
1400000US06001408200,1961,395
1400000US06001408300,1828,239
1400000US06001408400,1157,259
1400000US06001408500,1611,312
1400000US06001408600,1811,230
1400000US06001408700,2455,289
1400000US06001408800,2225,659
1400000US06001408900,1016,232
1400000US06001409000,1135,77
1400000US06001409100,675,179
1400000US06001409200,982,75
1400000US06001409300,1627,210
1400000US06001409400,1268,104
1400000US06001409500,1131,241
1400000US06001409600,1484,127
1400000US06001409700,1577,279
1400000US06001409800,1294,223
1400000US06001409900,1423,20
1400000US06001410000,1227,21
1400000US06001410100,1100,116
1400000US06001410200,1127,138
1400000US06001410300,1023,93
1400000US06001410400,1351,99
1400000US06001410500,925,280
1400000US06001420100,891,61
1400000US06001420200,1256,112
1400000US06001420300,1947,92
1400000US06001420400,1129,117
1400000US06001420500,974,85
1400000US06001420600,1247,59
1400000US06001421100,837,11
1400000US06001421200,1466,28
1400000US06001421300,1578,52
1400000US06001421400,625,10
1400000US06001421500,1576,49
1400000US06001421600,1537,38
1400000US06001421700,1574,292
1400000US06001421800,859,103
1400000US06001421900,1732,123
1400000US06001422000,928,58
1400000US06001422100,1212,228
1400000US06001422200,1554,176
1400000US06001422300,1680,365
1400000US06001422400,2067,639
1400000US06001422500,1439,412
1400000US06001422600,26,0
1400000US06001422700,1053,393
1400000US06001422800,1293,780
1400000US06001422900,2128,1214
1400000US06001423000,2087,511
1400000US06001423100,1976,448
1400000US06001423200,1142,207
1400000US06001423300,1587,283
1400000US06001423400,2002,259
1400000US06001423500,1486,429
1400000US06001423601,1214,182
1400000US06001423602,2193,817
1400000US06001423700,1305,222
1400000US06001423800,1306,76
1400000US06001423901,818,151
1400000US06001423902,712,116
1400000US06001424001,1426,237
