service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,1,0,0,20210808,20211204
3,1,1,0,1,1,0,0,20210808,20211204
6,1,1,0,1,1,0,0,20210808,20211204
8,1,1,0,1,1,0,0,20210808,20211204
9,0,0,1,0,0,0,0,20210808,20211204
10,0,0,1,0,0,0,0,20210808,20211204
11,1,1,1,1,1,0,0,20210808,20211204
12,1,1,0,1,1,0,0,20210808,20211204
14,1,1,1,1,1,0,0,20210808,20211204
16,1,1,1,1,1,0,0,20210808,20211204
17,1,1,1,1,1,0,0,20210808,20211204
19,1,1,1,1,1,0,0,20210808,20211204
20,1,1,1,1,1,0,0,20210808,20211204
21,1,1,0,1,1,0,0,20210808,20211204
22,1,1,1,1,1,0,0,20210808,20211204
23,0,0,0,0,0,1,0,20210808,20211204
24,1,1,0,1,1,0,0,20210808,20211204
25,0,0,0,0,0,0,1,20210808,20211204
27,0,0,1,0,0,0,0,20210808,20211204
16-1,1,1,1,1,0,0,1,20210807,20211203
23-1,0,0,0,0,1,0,0,20210807,20211203
25-1,0,0,0,0,0,1,0,20210807,20211203
