service_id,date,exception_type
2,20210809,1
2,20210810,1
2,20211126,1
2,20210813,1
2,20211122,1
2,20210812,1
2,20211111,1
2,20211008,1
2,20211123,1
2,20211124,1
2,20210811,1
4,20210809,1
4,20211123,1
4,20211124,1
4,20211217,1
4,20211126,1
4,20210811,1
4,20211111,1
4,20211216,1
4,20211122,1
4,20210810,1
5,20210812,1
5,20210813,1
5,20210809,1
5,20211122,1
5,20211111,1
5,20210811,1
5,20211126,1
5,20211011,1
5,20210810,1
5,20211123,1
5,20211124,1
7,20211011,1
7,20211124,1
7,20211111,1
7,20211126,1
7,20211122,1
7,20211123,1
7,20210903,1
13,20211216,1
13,20211119,1
13,20211217,1
15,20210813,1
15,20211122,1
15,20210812,1
15,20210816,1
15,20210809,1
15,20210810,1
15,20211123,1
15,20211126,1
15,20210817,1
15,20211111,1
18,20210810,1
18,20211124,1
18,20210809,1
18,20211126,1
18,20211011,1
25,20211125,1
25,20210906,1
26,20211111,1
26,20210810,1
26,20210812,1
26,20210809,1
26,20211126,1
26,20210816,1
26,20210811,1
26,20211122,1
26,20211124,1
26,20211123,1
26,20210817,1
26,20210813,1
6,20210809,2
8,20210809,2
12,20210809,2
14,20210809,2
17,20210809,2
19,20210809,2
20,20210809,2
21,20210809,2
22,20210809,2
24,20210809,2
6,20210810,2
8,20210810,2
12,20210810,2
14,20210810,2
17,20210810,2
19,20210810,2
20,20210810,2
21,20210810,2
22,20210810,2
24,20210810,2
9,20210811,2
17,20210811,2
19,20210811,2
20,20210811,2
22,20210811,2
27,20210811,2
6,20210812,2
8,20210812,2
17,20210812,2
19,20210812,2
21,20210812,2
22,20210812,2
24,20210812,2
6,20210813,2
8,20210813,2
17,20210813,2
19,20210813,2
21,20210813,2
22,20210813,2
24,20210813,2
8,20210816,2
19,20210816,2
21,20210816,2
8,20210817,2
19,20210817,2
21,20210817,2
9,20210818,2
8,20210819,2
8,20210820,2
8,20210823,2
8,20210824,2
9,20210825,2
3,20210903,2
11,20210903,2
3,20210906,2
6,20210906,2
8,20210906,2
11,20210906,2
12,20210906,2
14,20210906,2
16,20210906,2
17,20210906,2
19,20210906,2
20,20210906,2
21,20210906,2
22,20210906,2
24,20210906,2
6,20211008,2
22,20211008,2
3,20211011,2
11,20211011,2
12,20211011,2
14,20211011,2
17,20211011,2
24,20211011,2
8,20211101,2
3,20211111,2
6,20211111,2
8,20211111,2
11,20211111,2
17,20211111,2
19,20211111,2
20,20211111,2
21,20211111,2
22,20211111,2
24,20211111,2
3,20211122,2
6,20211122,2
8,20211122,2
11,20211122,2
17,20211122,2
19,20211122,2
20,20211122,2
21,20211122,2
22,20211122,2
24,20211122,2
3,20211123,2
6,20211123,2
8,20211123,2
11,20211123,2
17,20211123,2
19,20211123,2
20,20211123,2
21,20211123,2
22,20211123,2
24,20211123,2
9,20211124,2
10,20211124,2
11,20211124,2
14,20211124,2
17,20211124,2
19,20211124,2
20,20211124,2
22,20211124,2
27,20211124,2
3,20211125,2
6,20211125,2
8,20211125,2
11,20211125,2
12,20211125,2
14,20211125,2
16,20211125,2
17,20211125,2
19,20211125,2
20,20211125,2
21,20211125,2
22,20211125,2
24,20211125,2
1,20211126,2
3,20211126,2
6,20211126,2
8,20211126,2
11,20211126,2
12,20211126,2
14,20211126,2
17,20211126,2
19,20211126,2
20,20211126,2
21,20211126,2
22,20211126,2
24,20211126,2
20,20211216,2
20,20211217,2
16-1,20210905,2
16-1,20211124,2
25-1,20210905,1
25-1,20211124,1
