route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,1,10,E. 14th St. - Mission,,3,http://www.actransit.org/bus-lines-schedules/10,A52A2A,FFFFFF
12,1,12,MLK Jr. - Temescal - Grand,,3,http://www.actransit.org/bus-lines-schedules/12,87CEEB,000000
14,1,14,14th St - San Antonio - High St,,3,http://www.actransit.org/bus-lines-schedules/14,000000,FFFFFF
18,1,18,Solano - Shattuck - MLK Jr.,,3,http://www.actransit.org/bus-lines-schedules/18,A52A2A,FFFFFF
19,1,19,Buena Vista - Fruitvale,,3,http://www.actransit.org/bus-lines-schedules/19,87CEEB,000000
1T,1,1T,Uptown Oakland\ San Leandro BART Southbound OWL,,3,http://www.actransit.org/bus-lines-schedules/1T,00ABC8,000000
20,1,20,Dimond - Fruitvale - South Shore,,3,http://www.actransit.org/bus-lines-schedules/20,FFA500,000000
200,1,200,Decoto - Newark Blvd. - Mowry,,3,http://www.actransit.org/bus-lines-schedules/200,A52A2A,FFFFFF
21,1,21,Dimond - Fruitvale - Bay Farm,,3,http://www.actransit.org/bus-lines-schedules/21,006600,FFFFFF
210,1,210,Fremont Blvd. - Mission San Jose,,3,http://www.actransit.org/bus-lines-schedules/210,EE82EE,000000
212,1,212,Fremont Blvd. - Pacific Commons,,3,http://www.actransit.org/bus-lines-schedules/212,0000FF,FFFFFF
215,1,215,Osgood - Warm Springs - Landing,,3,http://www.actransit.org/bus-lines-schedules/215,FFC0CB,000000
216,1,216,Niles - Stevenson - NewPark,,3,http://www.actransit.org/bus-lines-schedules/216,FFA500,000000
217,1,217,Mission San Jose - Milpitas,,3,http://www.actransit.org/bus-lines-schedules/217,E6E6FA,000000
232,1,232,Mission - Decoto - NewPark,,3,http://www.actransit.org/bus-lines-schedules/232,EE82EE,000000
239,1,239,Grimmer - Warm Springs,,3,http://www.actransit.org/bus-lines-schedules/239,006161,FFFFFF
251,1,251,Paseo Padre - Thornton - Cherry,,3,http://www.actransit.org/bus-lines-schedules/251,3F5F35,FFFFFF
28,1,28,Alvarado - Castro Valley - B St.,,3,http://www.actransit.org/bus-lines-schedules/28,3F5F35,FFFFFF
29,1,29,Hollis - Peralta - Lakeshore,,3,http://www.actransit.org/bus-lines-schedules/29,800000,FFFFFF
