trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
462010,51A,25,"Fruitvale BART",,0,110396301,shp-51A-54,0,0
13911020,604,12,"To North Berkeley BART",,0,111990302,shp-604-61,0,0
12868020,1T,16,"San Leandro BART",,0,111595002,shp-1T-51,0,0
6810020,14,16,"West Oakland BART",,0,112005802,shp-14-13,0,0
10914070,62,23,"WEST OAKLAND BART",,0,110259207,shp-62-54,0,0
7368020,57,16,"Public Market Emeryville",,0,111981102,shp-57-61,0,0
11622070,96,23,"Alameda Point",,0,111257807,shp-96-57,0,0
11178070,1T,23,"Uptown Oakland",,1,110261407,shp-1T-05,0,0
10527010,57,25,"Public Market Emeryville",,0,111269501,shp-57-61,0,0
4174020,70,16,"Richmond Parkway Transit Center",,1,111564102,shp-70-01,0,0
10444080,376,5,"Fitzgerald Drive, Pinole",,1,111567208,shp-376-07,0,0
4897070,28,23,"Hayward BART",,0,111884907,shp-28-58,0,0
9903010,212,25,"Fremont BART",,1,112043401,shp-212-07,0,0
12448010,52,25,"University Village, Albany",,1,111273501,shp-52-13,0,0
1774070,51B,23,"Rockridge BART",,0,111254207,shp-51B-16,0,0
12795070,33,23,"Piedmont",,0,111255807,shp-33-67,0,0
1975020,72R,16,"Contra Costa College",,1,111562902,shp-72R-12,0,0
3673010,1T,25,"San Leandro BART",,0,110398501,shp-1T-51,0,0
7653070,74,23,"Harbour Way South & Ford Point",,0,111076207,shp-74-51,0,0
4659010,45,25,"Foothill Square",,1,110394901,shp-45-04,0,0
4295020,10,16,"San Leandro BART",,1,111842202,shp-10-09,0,0
13057080,NX3,2,"Marlow Dr. & Foothill Way",,1,112016108,shp-NX3-06,0,0
168070,20,23,"Dimond District",,1,110264107,shp-20-16,0,0
2945070,71,23,"El Cerrito Plaza BART",,0,111076907,shp-71-51,0,0
7635010,6,25,"Downtown Oakland",,0,111268201,shp-6-58,0,0
5621010,88,25,"Lake Merritt BART",,0,111270401,shp-88-06,0,0
6426020,200,16,"Union City BART",,1,111847502,shp-200-11,0,0
2650010,57,25,"Public Market Emeryville",,0,111268901,shp-57-61,0,0
4322070,6,23,"Downtown Berkeley",,1,111254707,shp-6-13,0,0
9111020,54,16,"Fruitvale BART",,0,112006302,shp-54-52,0,0
2459020,40,16,"Bay Fair BART",,0,112004502,shp-40-62,0,0
11755010,14,25,"FRUITVALE BART VIA HIGH STREET",,1,110400101,shp-14-03,0,0
8079010,35,25,"Bay Fair BART",,0,112042601,shp-35-59,0,0
11998080,74,5,"Castro Ranch Road",,1,111564908,shp-74-01,0,0
12269070,51B,23,"Berkeley Amtrak",,1,111254907,shp-51B-14,0,0
1107010,96,25,"Alameda Point",,0,111273201,shp-96-57,0,0
12620010,90,25,"Coliseum BART",,0,110395601,shp-90-54,0,0
11742010,72R,25,"Contra Costa College",,1,111092901,shp-72R-12,0,0
4922020,33,16,"Piedmont",,0,111984902,shp-33-67,0,0
529010,200,25,"Fremont BART",,0,112051101,shp-200-13,0,0
4456010,F,25,"San Francisco",,0,111272301,shp-F-71,0,0
9133020,52,16,"U.C. Campus",,0,111986002,shp-52-60,0,0
5996070,51B,23,"Rockridge BART",,0,111258807,shp-51B-17,0,0
6461020,72R,16,"Jack London Square",,0,111562602,shp-72R-57,0,0
11389020,57,16,"Foothill Square",,1,111983002,shp-57-09,0,0
3884070,90,23,"COLISEUM BART  VIA 90TH AVE  85TH AVE",,1,110257807,shp-90-02,0,0
41020,72R,16,"Contra Costa College",,1,111562602,shp-72R-12,0,0
1122070,34,23,"Hayward BART",,0,111880607,shp-34-55,0,0
7615010,1T,25,"Uptown Oakland",,1,110399101,shp-1T-05,0,0
10547070,6,23,"Downtown Berkeley",,1,111253907,shp-6-13,0,0
13921070,212,23,"Fremont BART",,1,111887707,shp-212-07,0,0
3833080,76,5,"El Cerrito Del Norte BART",,1,111567208,shp-76-06,0,0
10255020,6,16,"Downtown Oakland",,0,111980902,shp-6-58,0,0
3634020,10,16,"San Leandro BART",,1,111842602,shp-10-09,0,0
7718020,98,16,"Coliseum BART",,0,112007802,shp-98-51,0,0
4157020,52,16,"University Village, Albany",,1,111989302,shp-52-13,0,0
114010,45,25,"Eastmont Transit Center",,0,110394901,shp-45-53,0,0
3996020,76,16,"Richmond Parkway Transit Center",,0,111565102,shp-76-54,0,0
4911020,7,16,"El Cerrito Del Norte BART",,1,111989502,shp-7-09,0,0
1675020,1T,16,"San Leandro BART",,0,112006002,shp-1T-51,0,0
13221010,99,25,"To Hayward BART",,1,112045901,shp-99-08,0,0
6846020,45,16,"Foothill Square",,1,112006802,shp-45-04,0,0
1943020,45,16,"Foothill Square",,1,112007002,shp-45-04,0,0
3183020,39,16,"Fruitvale BART",,0,112007402,shp-39-53,0,0
12184020,29,16,"Christie Ave. & 64th St.",,0,111983602,shp-29-61,0,0
11740020,232,16,"Fremont BART",,0,111846402,shp-232-58,0,0
9461070,12,23,"Northwest Berkeley",,1,111256807,shp-12-13,0,0
1522020,95,16,"Fairview District",,1,111845102,shp-95-07,0,0
8957070,1T,23,"Uptown Oakland",,1,110261707,shp-1T-05,0,0
7766020,57,16,"Public Market Emeryville",,0,111988902,shp-57-61,0,0
8240070,F,23,"U.C. Campus",,1,111255207,shp-F-20,0,0
11131020,216,16,"Silliman Center",,0,111848202,shp-216-15,0,0
5317020,72,16,"Contra Costa College",,1,111566402,shp-72-27,0,0
828010,1T,25,"Uptown Oakland",,1,110398801,shp-1T-05,0,0
4785020,14,16,"FRUITVALE BART VIA HIGH STREET",,1,112004002,shp-14-03,0,0
11063020,805,11,"Oakland Airport",,1,112107902,shp-805-17,0,0
5332010,18,25,"University Village, Albany",,1,111273301,shp-18-16,0,0
10131070,34,23,"Foothill Square",,1,111884407,shp-34-06,0,0
2486070,6,23,"Downtown Berkeley",,1,111254507,shp-6-13,0,0
1829020,216,16,"Union City BART",,1,111848702,shp-216-13,0,0
13531070,801,23,"Fremont BART",,0,111879907,shp-801-22,0,0
12295070,99,23,"To Hayward BART",,1,111886007,shp-99-08,0,0
11512020,52,16,"U.C. Campus",,0,111986002,shp-52-60,0,0
2015070,88,23,"Lake Merritt BART",,0,111254407,shp-88-06,0,0
3419020,217,16,"Fremont BART",,1,111841202,shp-217-09,0,0
12063020,52,16,"U.C. Campus",,0,111989302,shp-52-60,0,0
13323010,33,25,"Piedmont",,0,111272901,shp-33-67,0,0
12227040,40,27,"Downtown Oakland",,1,112014904,shp-40-16,0,0
9966070,98,23,"Eastmont Transit Center",,1,110258007,shp-98-01,0,0
1034010,33,25,"Piedmont",,0,111272901,shp-33-67,0,0
11418010,52,25,"University Village, Albany",,1,111273501,shp-52-13,0,0
1541070,1T,23,"San Leandro BART",,0,110262407,shp-1T-51,0,0
11098020,95,16,"Fairview District",,1,111845102,shp-95-07,0,0
7102010,56,25,"Hayward BART",,1,112044401,shp-56-03,0,0
1396070,1T,23,"San Leandro BART",,0,110262407,shp-1T-51,0,0
13129010,73,25,"OAKLAND AIRPORT",,0,110396801,shp-73-51,0,0
159020,NL,16,"San Francisco",,0,112000902,shp-NL-56,0,0
9006010,97,25,"Bay Fair BART",,1,112041501,shp-97-10,0,0
3973070,F,23,"U.C. Campus",,1,111254007,shp-F-20,0,0
4060010,73,25,"Eastmont Transit Center",,1,110394401,shp-73-01,0,0
5290020,46L,16,"Coliseum BART",,0,112007602,shp-46L-51,0,0
493010,21,25,"Dimond District",,1,110401501,shp-21-01,0,0
4518070,800,23,"Richmond BART",,1,111258107,shp-800-22,0,0
9565010,51A,25,"Rockridge BART",,1,110396301,shp-51A-16,0,0
6189070,56,23,"Hayward BART",,1,111883907,shp-56-03,0,0
1737070,73,23,"Eastmont Transit Center",,1,110257207,shp-73-01,0,0
2212010,99,25,"Fremont BART",,0,112041801,shp-99-09,0,0
1783070,217,23,"Fremont BART",,1,111886807,shp-217-09,0,0
2020,F,16,"San Francisco",,0,111988602,shp-F-70,0,0
2518080,801,4,"San Leandro BART",,1,111840108,shp-801-21,0,0
4110070,51A,23,"Rockridge BART",,1,110263607,shp-51A-16,0,0
12709010,1T,25,"San Leandro BART",,0,110398301,shp-1T-51,0,0
13131020,217,16,"Fremont BART",,1,111846602,shp-217-09,0,0
1692020,96,16,"Alameda Point",,0,111986102,shp-96-57,0,0
7756070,6,23,"Downtown Berkeley",,1,111252807,shp-6-13,0,0
13570020,51A,16,"Fruitvale BART",,0,112009602,shp-51A-54,0,0
2818010,73,25,"Eastmont Transit Center",,1,110394501,shp-73-01,0,0
6119020,200,16,"Fremont BART",,0,111844102,shp-200-13,0,0
1896010,70,25,"Richmond BART",,0,111090601,shp-70-05,0,0
1509020,40,16,"Downtown Oakland",,1,112006602,shp-40-16,0,0
9530070,52,23,"University Village, Albany",,1,111257207,shp-52-13,0,0
8920020,29,16,"Christie Ave. & 64th St.",,0,111983602,shp-29-63,0,0
4945020,40,16,"Eastmont Transit Center",,0,112008102,shp-40-61,0,0
10215020,20,16,"Dimond District",,1,112002402,shp-20-08,0,0
3925070,800,23,"Richmond BART",,1,111252407,shp-800-79,0,0
6140010,12,25,"Oakland Amtrak at Jack London Square",,0,111273801,shp-12-56,0,0
13639010,217,25,"Milpitas BART",,0,112051501,shp-217-10,0,0
3656010,56,25,"Union Landing Transit Center",,0,112044401,shp-56-53,0,0
226020,10,16,"San Leandro BART",,1,111843302,shp-10-09,0,0
6477020,62,16,"WEST OAKLAND BART",,0,112004302,shp-62-54,0,0
3307020,232,16,"Fremont BART",,0,111847702,shp-232-58,0,0
13865020,O,3,"San Francisco",,0,112004702,shp-O-53,0,0
569010,33,25,"Montclair",,1,111271201,shp-33-13,0,0
6678070,73,23,"OAKLAND AIRPORT",,0,110257107,shp-73-51,0,0
5001020,19,16,"Downtown Oakland",,0,111983102,shp-19-64,0,0
7345010,14,25,"FRUITVALE BART VIA HIGH STREET",,1,110400001,shp-14-03,0,0
8622010,35,25,"Bay Fair BART",,0,112042401,shp-35-59,0,0
7850020,76,17,"El Cerrito Del Norte BART",,1,111567202,shp-76-06,0,0
4390070,801,23,"Fremont BART",,0,111880107,shp-801-22,0,0
2173020,72,16,"Jack London Square",,0,111562702,shp-72-77,0,0
7640010,6,25,"Downtown Oakland",,0,111268201,shp-6-58,0,0
588070,40,23,"Eastmont Transit Center",,0,110259807,shp-40-60,0,0
4904070,14,23,"FRUITVALE BART VIA HIGH STREET",,1,110258607,shp-14-03,0,0
10321020,7,16,"El Cerrito Del Norte BART",,1,111989502,shp-7-09,0,0
2021010,57,25,"Public Market Emeryville",,0,111270001,shp-57-61,0,0
