service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
2_merged_507000044,20211114,20220219,0,1,0,1,1,0,0
9_merged_507000049,20211114,20220219,1,1,0,1,1,0,0
2_merged_507000029,20210808,20211113,0,1,0,1,1,0,0
7_merged_507000032,20210808,20211113,1,1,1,1,0,0,0
13_merged_507000038,20211114,20220219,0,1,0,0,0,0,0
12_merged_507000024,20210808,20211113,0,1,0,1,0,0,0
7_merged_507000047,20211114,20220219,1,1,1,1,0,0,0
1_merged_507000027,20210808,20211113,1,0,0,0,0,0,0
15_merged_507000025,20210808,20211113,0,0,0,0,1,0,0
1_merged_507000042,20211114,20220219,1,0,0,0,0,0,0
8_merged_507000050,20211114,20220219,0,1,1,1,1,0,0
8_merged_507000035,20210808,20211113,0,1,1,1,1,0,0
11_merged_507000036,20211114,20220219,1,0,1,0,0,0,0
4_merged_507000046,20211114,20220219,0,0,0,0,0,1,0
10_merged_507000022,20210808,20211113,1,1,1,1,1,0,0
9_merged_507000034,20210808,20211113,1,1,0,1,1,0,0
12_merged_507000039,20211114,20220219,0,1,0,1,0,0,0
3_merged_507000028,20210808,20211113,0,0,1,0,0,0,0
14_merged_507000026,20210808,20211113,0,0,0,1,0,0,0
3_merged_507000043,20211114,20220219,0,0,1,0,0,0,0
4_merged_507000031,20210808,20211113,0,0,0,0,0,1,0
15_merged_507000040,20211114,20220219,0,0,0,0,1,0,0
6_merged_507000033,20210808,20211113,0,0,0,1,1,0,0
13_merged_507000023,20210808,20211113,0,1,0,0,0,0,0
14_merged_507000041,20211114,20220219,0,0,0,1,0,0,0
5_merged_507000045,20211114,20220219,0,0,0,0,0,0,1
6_merged_507000048,20211114,20220219,0,0,0,1,1,0,0
5_merged_507000030,20210808,20211113,0,0,0,0,0,0,1
10_merged_507000037,20211114,20220219,1,1,1,1,1,0,0
11_merged_507000021,20210808,20211113,1,0,1,0,0,0,0
