service_id,date,exception_type
2_merged_507000044,20211125,2
9_merged_507000049,20211125,2
7_merged_507000032,20210906,2
7_merged_507000047,20211125,2
1_merged_507000027,20210906,2
8_merged_507000050,20211125,2
4_merged_507000046,20220101,2
4_merged_507000046,20211225,2
10_merged_507000022,20210906,2
9_merged_507000034,20210906,2
12_merged_507000039,20211125,2
14_merged_507000041,20211125,2
6_merged_507000048,20211125,2
10_merged_507000037,20211125,2
11_merged_507000021,20210906,2
