trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
499991020,12:14:00,12:14:00,2261,1,,,,,
499991020,,,1898,2,,,,,
499991020,,,1063,3,,,,,
499991020,,,1064,4,,,,,
499991020,,,901,5,,,,,
499991020,,,902,6,,,,,
499991020,,,903,7,,,,,
499991020,,,904,8,,,,,
499991020,,,905,9,,,,,
499991020,,,1860,10,,,,,
499991020,,,2188,11,,,,,
499991020,,,2084,12,,,,,
499991020,,,1811,13,,,,,
499991020,12:27:00,12:44:00,2241,14,,,,,
499991020,,,1930,15,,,,,
499991020,,,1931,16,,,,,
499991020,,,2083,17,,,,,
499991020,,,1783,18,,,,,
499991020,,,1784,19,,,,,
499991020,,,1785,20,,,,,
499991020,,,1786,21,,,,,
499991020,,,2087,22,,,,,
499991020,12:54:00,12:54:00,2181,23,,,,,
499991020,,,1933,24,,,,,
499991020,,,2141,25,,,,,
499991020,,,1934,26,,,,,
499991020,,,1839,27,,,,,
499991020,,,1840,28,,,,,
499991020,,,2196,29,,,,,
499991020,,,1991,30,,,,,
499991020,,,1992,31,,,,,
499991020,13:05:00,13:05:00,1778,32,,,,,
500550020,15:03:00,15:03:00,447,1,,,,,
500550020,,,448,2,,,,,
500550020,,,449,3,,,,,
500550020,15:06:00,15:06:00,451,4,,,,,
500550020,,,543,5,,,,,
500550020,,,544,6,,,,,
500550020,,,545,7,,,,,
500550020,15:09:00,15:09:00,546,8,,,,,
500550020,,,547,9,,,,,
500550020,,,548,10,,,,,
500550020,,,549,11,,,,,
500550020,,,550,12,,,,,
500550020,,,551,13,,,,,
500550020,,,552,14,,,,,
500550020,15:16:00,15:16:00,553,15,,,,,
500550020,,,554,16,,,,,
500550020,,,555,17,,,,,
500550020,,,556,18,,,,,
500550020,,,557,19,,,,,
500550020,,,558,20,,,,,
500550020,,,559,21,,,,,
500550020,,,560,22,,,,,
500550020,,,561,23,,,,,
500550020,,,562,24,,,,,
500550020,15:25:00,15:25:00,883,25,,,,,
502830020,15:37:00,15:37:00,2168,1,,,,,
502830020,,,604,2,,,,,
502830020,,,1450,3,,,,,
502830020,,,858,4,,,,,
502830020,,,859,5,,,,,
502830020,,,860,6,,,,,
502830020,15:45:00,15:45:00,634,7,,,,,
502830020,,,567,8,,,,,
502830020,,,519,9,,,,,
502830020,,,520,10,,,,,
502830020,,,745,11,,,,,
502830020,15:51:00,15:51:00,883,12,,,,,
500247020,17:39:00,17:39:00,1039,1,,,,,
500247020,,,2067,2,,,,,
500247020,,,1289,3,,,,,
500247020,,,1290,4,,,,,
500247020,,,1291,5,,,,,
500247020,,,1292,6,,,,,
500247020,17:43:00,17:43:00,1264,7,,,,,
500247020,,,1265,8,,,,,
500247020,,,1267,9,,,,,
500247020,,,1266,10,,,,,
500247020,,,1268,11,,,,,
500247020,,,1269,12,,,,,
500247020,,,2099,13,,,,,
500247020,,,1271,14,,,,,
500247020,,,1272,15,,,,,
500247020,,,1273,16,,,,,
500247020,,,1274,17,,,,,
500247020,,,1275,18,,,,,
500247020,,,1276,19,,,,,
500247020,,,1277,20,,,,,
500247020,,,1278,21,,,,,
500247020,17:55:00,17:55:00,1530,22,,,,,
500247020,,,1531,23,,,,,
500247020,,,1532,24,,,,,
500247020,,,1481,25,,,,,
500247020,,,1482,26,,,,,
500247020,,,1483,27,,,,,
500247020,,,1484,28,,,,,
500247020,,,1485,29,,,,,
500247020,,,1486,30,,,,,
500247020,,,1441,31,,,,,
500247020,,,1464,32,,,,,
500247020,18:03:00,18:03:00,1465,33,,,,,
500247020,,,1473,34,,,,,
500247020,,,715,35,,,,,
500247020,,,2176,36,,,,,
500247020,,,717,37,,,,,
500247020,,,718,38,,,,,
500247020,18:13:00,18:13:00,719,39,,,,,
500247020,,,2117,40,,,,,
500247020,,,2118,41,,,,,
500247020,,,709,42,,,,,
500247020,,,745,43,,,,,
500247020,18:23:00,18:23:00,883,44,,,,,
503000020,16:30:00,16:30:00,2241,1,,,,,
503000020,,,1930,2,,,,,
503000020,,,1931,3,,,,,
503000020,,,2083,4,,,,,
503000020,,,1783,5,,,,,
503000020,,,1784,6,,,,,
503000020,,,1785,7,,,,,
503000020,,,1786,8,,,,,
503000020,,,2087,9,,,,,
503000020,16:39:00,16:39:00,2181,10,,,,,
503000020,,,1937,11,,,,,
503000020,,,2095,12,,,,,
503000020,,,1938,13,,,,,
503000020,,,2143,14,,,,,
503000020,,,1939,15,,,,,
503000020,16:46:00,16:46:00,2241,16,,,,,
