stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_name,location_type,stop_code
37.828238,,-122.007337,2100,,Danville Blvd + El Cerro Blvd,0,2100
37.970908,,-122.068987,2172,S6,Diablo Valley College,0,2172
37.951278,,-122.083869,1525,,Pleasant Hill Rd + Mercury Way,0,1525
37.95246,,-122.085022,1526,,Pleasant Hill Rd + Mangini Rd,0,1526
37.942973,,-122.0188,818,,Treat Blvd + San Simeon Dr,0,818
37.941,,-122.02172,819,,Treat Blvd + Blarney Ave,0,819
37.972148,,-122.040377,563,,Clayton Rd + Fry Way,0,563
37.992401,,-122.130777,1255,,Alhambra Ave + Walnut Ave,0,1255
38.014435,,-122.136222,1262,,Alhambra Ave + Mellus St,0,1262
37.982985,,-122.116552,1252,,Alhambra Ave + John Muir Rd,0,1252
37.962376,,-121.994192,812,,Treat Blvd + Bel Air Dr,0,812
37.958759,,-121.997559,813,,Treat Blvd + Lancelot Dr,0,813
37.955143,,-122.002297,814,,Treat Blvd + Cowell Rd,0,814
37.9523,,-122.00529,815,,Treat Blvd + Thompson Rd,0,815
37.946739,,-122.012993,816,,Treat Blvd + Navaronne Way,0,816
37.945533,,-122.015025,817,,Treat Blvd + San Miguel Rd,0,817
37.927635,,-122.029807,1991,,Lennon Ln + N Wiget Ln,0,1991
38.00935,,-122.131374,1260,,Alhambra Ave + Allen Dr,0,1260
37.971103,,-122.105684,1250,,Alhambra Ave + Wildcroft Dr,0,1250
37.95681,,-122.038132,719,,Monument Blvd + Oak Grove Rd,0,719
37.970468,,-122.03231,1990,,Galindo St + Sigma Hair Cuts,0,1990
37.952443,,-122.04439,717,,Monument Blvd + Reganti Dr,0,717
37.897316,,-122.06098,1791,,Mt Diablo Blvd + Locust St,0,1791
37.948249,,-122.050759,714,,Monument Blvd + Mohr Ln,0,714
37.950759,,-122.04728,713,,Monument Blvd + Victory Ln,0,713
37.953595,,-122.043119,712,,Monument Blvd + Lacey Ln,0,712
37.954366,,-122.042007,711,,Monument Blvd + Virginia Ln,0,711
37.957036,,-122.038192,710,,Monument Blvd + Meadow Ln,0,710
