block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_50535,1,1,Shadelands Via Walnut Creek BART,43675,10_merged_507000022,499991020
a_50983,310,1,Concord BART,43708,4_merged_507000031,500550020
b_51298,20,0,Concord BART,43823,10_merged_507000037,502830020
a_50958,16,1,Concord BART  Via Downtown PH,43688,10_merged_507000022,500247020
b_51292,301,0,Walnut Creek BART Via John Muir Med Ctr,43834,4_merged_507000046,503000020
b_51557,250,0,,43827,5_merged_507000045,506992020
b_51114,314,1,Concord BART,43840,5_merged_507000045,503204020
a_50590,314,1,Concord BART,43712,5_merged_507000030,500722020
a_50956,16,0,Amtrak Via Downtown PH,43687,10_merged_507000022,500229020
a_50586,320,1,DVC Via Diamond,43717,4_merged_507000031,500800020
b_51115,314,0,DVC Via Monument,43839,5_merged_507000045,503182020
b_51299,20,0,Concord BART,43823,10_merged_507000037,502858020
a_50989,315,0,Clayton/Treat,43713,4_merged_507000031,500732020
a_50972,4,0,Broadway Plaza Downtown,43727,10_merged_507000022,501027020
a_50975,6,1,Orinda BART St Mary's College,43732,10_merged_507000022,501165020
b_51283,314,0,DVC Via Monument,43839,4_merged_507000046,503130020
b_51307,14,0,Walnut Creek BART Via PH BART,43810,10_merged_507000037,502620020
a_50611,4,0,Broadway Plaza Downtown,43727,5_merged_507000030,501086020
b_51161,5,0,Creekside,43856,10_merged_507000037,503591020
a_50605,35,0,Dublin BART Via Bollinger Canyon,43724,10_merged_507000022,500953020
b_51216,9,0,WC BART Via PH BART,43898,10_merged_507000037,503777020
b_51076,21,1,Walnut Creek BART,43826,10_merged_507000037,502946020
a_50560,17,1,Concord BART John Muir Concord,43690,10_merged_507000022,500271020
a_51000,310,0,Clayton,43707,5_merged_507000030,500565020
b_51316,18,0,PH BART,43819,10_merged_507000037,502780020
b_51306,14,1,Concord BART Via PH BART,43811,10_merged_507000037,502644020
a_50596,316,0,Martinez Downtown PH,43714,4_merged_507000031,500745020
a_50954,15,0,Concord BART Via John Muir Med Ctr,43685,10_merged_507000022,500194020
a_50566,21,0,San Ramon TC,43697,10_merged_507000022,500452020
a_50965,21,1,Walnut Creek BART,43698,10_merged_507000022,500474020
b_51112,314,1,Concord BART,43840,4_merged_507000046,503152020
a_50582,311,0,Concord BART Via PH BART,43709,4_merged_507000031,500586020
a_50575,301,0,Walnut Creek BART Via John Muir Med Ctr,43706,4_merged_507000031,500507020
a_50577,321,1,WC BART,43719,5_merged_507000030,500895020
b_51292,321,1,WC BART,43847,4_merged_507000046,503359020
a_50618,6,1,Orinda BART St Mary's College,43732,5_merged_507000030,501209020
b_51103,311,0,Concord BART Via PH BART,43837,4_merged_507000046,503073020
b_51266,311,0,Concord BART Via PH BART,43837,5_merged_507000045,503104020
a_50946,20,1,DVC,43696,10_merged_507000022,500402020
b_51071,21,0,San Ramon TC,43825,10_merged_507000037,502929020
a_51003,314,1,Concord BART,43712,5_merged_507000030,500716020
