route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"390","3D","390","Antioch BART / Pittsburg-Bay Point BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=390","800000","FFFFFF"
"394","3D","394","Weekend Antioch BART / Pittsburg-Bay Point BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=394","F3DF80","FFFFFF"
"387","3D","387","Antioch BART/ Pittsburg-Bay Point BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=387","D1ACDC","FFFFFF"
"393","3D","393","Weekend Brentwood Park & Ride / Antioch BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=393","6BB717","FFFFFF"
"395","3D","395","Weekend Streets of Brentwood / Antioch BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=395","451472","FFFFFF"
"383","3D","383","Blue Goose Park / Antioch BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=383","DC006E","FFFFFF"
"300","3D","300","Brentwood Park & Ride / Antioch BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=300","800080","FFFFFF"
"200","3D","200","Martinez / Pittsburg","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=200","C09600","FFFFFF"
"201","3D","201","Pittsburg-Bay Point BART / Concord BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=201","002580","FFFFFF"
"202","3D","202","Brentwood Los Medanos College","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=202","C09600","FFFFFF"
"379","3D","379","Antioch BART / Kaiser Antioch Medical Center","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=379","A0FFFF","FFFFFF"
"389","3D","389","Pittsburg-Bay Point BART / Bay Point","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=389","C3823B","FFFFFF"
"380","3D","380","Pittsburg Bay Point BART/ Antioch BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=380","008000","FFFFFF"
"381","3D","381","Pittsburg Marina / Los Medanos College Pittsburg","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=381","0080FF","FFFFFF"
"391","3D","391","Brentwood Park & Ride / Pittsburg Center Station","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=391","DA8E0F","FFFFFF"
"392","3D","392","Weekend Antioch BART / Pittsburg-Bay Point BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=392","C02000","FFFFFF"
"388","3D","388","Pittsburg-Bay Point BART / Kaiser Antioch Medical Center","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=388","5080A3","FFFFFF"
"396","3D","396","Weekend Somersville Towne Center / Bay Point","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=396","A8C73E","FFFFFF"
"384","3D","384","Brentwood Park & Ride / Antioch BART","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=384","878787","FFFFFF"
"385","3D","385","Antioch BART / Brentwood Park & Ride","",3,"http://rta.trideltatransit.com/RTT/Public/Schedule.aspx?RouteNo=385","00A8A8","FFFFFF"
