stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"812624","812624",17th West St & Bruno Ave,38.022601,-121.896068,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=114","","","","",""
"812243","812243",17th West St & Bruno Ave,38.022509,-121.896184,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=183","","","","",""
"810924","810924",2nd St & Brentwood Blvd,37.936087,-121.696401,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=420","","","","",""
"810911","810911",2nd St & Maple St,37.934377,-121.69486,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=419","","","","",""
"810768","810768",2nd St & Oak St,37.933732,-121.694028,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=418","","","","",""
"817160","817160",Adams Ln (Blue Goose Park),37.949792,-121.707492,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=736","","","","",""
"816740","816740",Alhambra Ave & C St,38.004973,-122.130964,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=560","","","","",""
"814599","814599",Alhambra Ave & Walnut Ave,37.992447,-122.130639,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=561","","","","",""
"813979","813979",Alhambra Ave & Walnut Ave,37.992253,-122.130843,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=562","","","","",""
"819209","819209",Alhambra Ave & Wano St,38.005641,-122.131119,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=559","","","","",""
"811299","811299",American Ave,37.918801,-121.756103,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=633","","","","",""
"811309","811309",American Ave & Balfour Rd,37.922265,-121.752791,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=632","","","","",""
"819191","819191",Amtrak,38.018487,-122.139107,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=558","","","","",""
"818843","818843",Andrew Ave & 17th West St,38.022506,-121.898368,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=182","","","","",""
"812262","812262",Andrew Ave & Power Ave,38.020138,-121.899278,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=181","","","","",""
"817754","817754",Antioch BART,37.995572,-121.778137,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=722","","","","",""
"814575","814575",Arnold Dr & Starflower Dr,37.994533,-122.078853,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=566","","","","",""
"819221","819221",Arnold Dr & Starflower Dr,37.994474,-122.079064,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=567","","","","",""
"813436","813436",A St & Belshaw St,38.000477,-121.805868,,"","http://rta.trideltatransit.com/RTT/Public/RoutePositionET.aspx?PlatformTag=69","","","","",""
