route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
2655,c_1503_b_30617_d_27,16306306170,,Loop Route,0,1220,p_5204,,,,,,,,,,,,
2655,c_1503_b_30617_d_27,1542204306170,,,0,1220,p_786698,,,,,,,,,,,,
2655,c_1503_b_30617_d_27,1542178306170,,,0,1220,p_786699,,,,,,,,,,,,
2655,c_1503_b_30617_d_27,16307306170,,Loop Route,0,1220,p_5204,,,,,,,,,,,,
2655,c_1503_b_30617_d_4,816666306170,,,0,1224,p_786699,,,,,,,,,,,,
2655,c_1503_b_30617_d_4,167719306170,,Loop Route,0,1224,p_5204,,,,,,,,,,,,
2655,c_1503_b_30617_d_4,167718306170,,Loop Route,0,1224,p_5204,,,,,,,,,,,,
2655,c_1503_b_30617_d_4,816667306170,,,0,1224,p_786700,,,,,,,,,,,,
2655,c_1503_b_30618_d_27,16307306180,,Loop Route,0,1220,p_5204,,,,,,,,,,,,
2655,c_1503_b_30618_d_27,1542204306180,,,0,1220,p_786698,,,,,,,,,,,,
2655,c_1503_b_30618_d_27,1542178306180,,,0,1220,p_786699,,,,,,,,,,,,
2655,c_1503_b_30618_d_27,16306306180,,Loop Route,0,1220,p_5204,,,,,,,,,,,,
2655,c_1503_b_30618_d_4,816666306180,,,0,1224,p_786699,,,,,,,,,,,,
2655,c_1503_b_30618_d_4,167719306180,,Loop Route,0,1224,p_5204,,,,,,,,,,,,
2655,c_1503_b_30618_d_4,167718306180,,Loop Route,0,1224,p_5204,,,,,,,,,,,,
2655,c_1503_b_30618_d_4,816667306180,,,0,1224,p_786700,,,,,,,,,,,,
2655,c_1503_b_30620_d_27,16306306200,,Loop Route,0,1220,p_5204,,,,,,,,,,,,
2655,c_1503_b_30620_d_27,1542178306200,,,0,1220,p_786699,,,,,,,,,,,,
2655,c_1503_b_30620_d_27,1542204306200,,,0,1220,p_786698,,,,,,,,,,,,
2655,c_1503_b_30620_d_27,16307306200,,Loop Route,0,1220,p_5204,,,,,,,,,,,,
2655,c_1503_b_30620_d_4,816666306200,,,0,1224,p_786699,,,,,,,,,,,,
2655,c_1503_b_30620_d_4,167718306200,,Loop Route,0,1224,p_5204,,,,,,,,,,,,
2655,c_1503_b_30620_d_4,167719306200,,Loop Route,0,1224,p_5204,,,,,,,,,,,,
2655,c_1503_b_30620_d_4,816667306200,,,0,1224,p_786700,,,,,,,,,,,,
